"ESPCOD","CIENTIFICO","APHIAID","AL3","ESPSIRENO"
"10267","Gaidropsarus vulgaris","126458","GGU","Gaidropsarus vulgaris"
"10047","Galeorhinus galeus","105820","GAG","Galeorhinus galeus"
"11624","Galeus atlanticus","105811","GHA","Galeus atlanticus"
"10019","Galeus melastomus","105812","SHO","Galeus melastomus"
"30066","Gastropoda","101","GAS","Gastropoda"
"20198","Geryon longipes","107373","GRQ","Geryon longipes"
"10764","Glyptocephalus cynoglossus","127136","WIT","Glyptocephalus cynoglossus"
"10691","Gobiidae","125537","GPA","Gobiidae"
"20975","Goneplax","106888","","Goneplax"
"20146","Goneplax rhomboides","107292","","Goneplax rhomboides"
"10939","Grammicolepis brachiusculus","127420","GMG","Grammicolepis brachiusculus"
"10818","Halobatrachus didactylus","126374","BHD","Halobatrachus didactylus"
"10723","Helicolenus dactylopterus","127251","BRF","Helicolenus dactylopterus"
"11191","Hippocampus hippocampus","127380","HPH","Hippocampus hippocampus"
"10765","Hippoglossoides platessoides","127137","PLA","Hippoglossoides platessoides"
"40066","Holothuria","123456","","Holothuria"
"40053","Holothuroidea","123083","CUX","Holothuroidea"
"20196","Homarus gammarus","107253","LBE","Homarus gammarus"
"10317","Hoplostethus atlanticus","126402","ORY","Hoplostethus atlanticus"
"10318","Hoplostethus mediterraneus","126404","HPR","Hoplostethus mediterraneus"
"10351","Hyperoplus lanceolatus","126756","YEZ","Hyperoplus lanceolatus"
"30177","Illex coindetii","140621","SQM","Illex coindetii"
"30176","Illex illecebrosus","153087","SQI","Illex illecebrosus"
"10657","Katsuwonus pelamis","127018","SKJ","Katsuwonus pelamis"
"10559","Labrus bergylta","126965","USB","Labrus bergylta"
"10556","Labrus mixtus","151501","USI","Labrus mixtus"
"10634","Lepidopus caudatus","127088","SFS","Lepidopus caudatus"
"10798","Lepidorhombus","126122","","Lepidorhombus"
"10800","Lepidorhombus boscii","127145","LDB","Lepidorhombus boscii"
"10799","Lepidorhombus whiffiagonis","127146","MEG","Lepidorhombus whiffiagonis"
"10735","Lepidotrigla cavillone","127264","LDV","Lepidotrigla cavillone"
"10734","Lepidotrigla dieuzeidei","127265","LEP","Lepidotrigla dieuzeidei"
"11198","Lesueurigobius","125992","","Lesueurigobius"
"10692","Lesueurigobius friesii","126904","GOF","Lesueurigobius friesii"
"10697","Lesueurigobius sanzi","126906","","Lesueurigobius sanzi"
"10097","Leucoraja circularis","105873","","Leucoraja circularis"
"10088","Leucoraja fullonica","105874","","Leucoraja fullonica"
"10092","Leucoraja naevus","105876","","Leucoraja naevus"
"10433","Lichia amia","126810","LEE","Lichia amia"
"20172","Liocarcinus","106925","","Liocarcinus"
"20169","Liocarcinus depurator","107387","IOD","Liocarcinus depurator"
"10526","Lithognathus mormyrus","127055","SSB","Lithognathus mormyrus"
"10338","Chelon auratus","1044127","MGA","Liza aurata"
"10337","Chelon ramada","1042830","MGC","Liza ramada"
"30166","Loligo","138139","","Loligo"
"30169","Loligo forbesii","140270","","Loligo forbesii"
"30167","Loligo vulgaris","140271","SQR","Loligo vulgaris"
"10821","Lophius","125802","","Lophius"
"10823","Lophius budegassa","126554","ANK","Lophius budegassa"
"10822","Lophius piscatorius","126555","MON","Lophius piscatorius"
"40062","Luidia ciliaris","123920","DTH","Luidia ciliaris"
